,activity_type,minutes,log_Id
121,lightly,1,59090987107
122,fairly,16,59090987107
123,very,6,59090987107
124,sedentary,0,59200087607
125,lightly,0,59200087607
126,fairly,1,59200087607
127,very,15,59200087607
128,sedentary,0,59304311491
129,lightly,0,59304311491
130,fairly,0,59304311491
131,very,17,59304311491
132,sedentary,0,59376717696
133,lightly,0,59376717696
134,fairly,0,59376717696
135,very,16,59376717696
136,sedentary,0,59439521153
137,lightly,0,59439521153
138,fairly,1,59439521153
139,very,15,59439521153
140,sedentary,0,59516435773
141,lightly,2,59516435773
142,fairly,14,59516435773
143,very,5,59516435773
144,sedentary,0,59633342288
145,lightly,0,59633342288
146,fairly,1,59633342288
147,very,20,59633342288
148,sedentary,0,59636001884
149,lightly,0,59636001884
150,fairly,0,59636001884
151,very,16,59636001884
152,sedentary,0,59663192568
153,lightly,0,59663192568
154,fairly,0,59663192568
155,very,15,59663192568
156,sedentary,0,59789364356
157,lightly,1,59789364356
158,fairly,0,59789364356
159,very,14,59789364356
160,sedentary,0,59810065923
161,lightly,0,59810065923
162,fairly,0,59810065923
163,very,16,59810065923
164,sedentary,0,59808142645
165,lightly,0,59808142645
166,fairly,0,59808142645
167,very,16,59808142645
168,sedentary,0,59871122072
169,lightly,0,59871122072
170,fairly,0,59871122072
171,very,15,59871122072
172,sedentary,0,59935801196
173,lightly,0,59935801196
174,fairly,0,59935801196
175,very,15,59935801196
176,sedentary,0,59961983463
177,lightly,2,59961983463
178,fairly,13,59961983463
179,very,8,59961983463
180,sedentary,0,60010433648
181,lightly,0,60010433648
182,fairly,1,60010433648
183,very,16,60010433648
184,sedentary,0,59995659209
185,lightly,0,59995659209
186,fairly,0,59995659209
187,very,17,59995659209
188,sedentary,1,60078081822
189,lightly,0,60078081822
190,fairly,17,60078081822
191,very,3,60078081822
192,sedentary,0,60078233809
193,lightly,0,60078233809
194,fairly,0,60078233809
195,very,15,60078233809
196,sedentary,0,60154638241
197,lightly,0,60154638241
198,fairly,0,60154638241
199,very,15,60154638241
200,sedentary,0,60219098861
201,lightly,2,60219098861
202,fairly,0,60219098861
203,very,15,60219098861
204,sedentary,0,60222914344
205,lightly,0,60222914344
206,fairly,0,60222914344
207,very,15,60222914344
208,sedentary,0,60297116031
